item_id,section_id,brand_id,ref_price,avg_price,min_price,max_price,amount
0,41,1,14.9,13.07,9.9,18.99,27594.82
1,41,1,14.9,13.59,9.9,18.99,41009.19
2,41,1,26.9,27.18,26.89,39.9,21912.49
3,41,1,14.9,16.73,12.9,17.99,6240.17
4,41,1,21.9,21.91,21.88,22.9,5460.85
5,41,1,15.9,15.91,11.9,19.0,20535.14
6,41,1,16.9,17.58,14.9,19.99,25811.78
7,41,1,12.9,13.5,10.9,16.99,12002.93
8,41,1,15.9,15.72,11.9,18.99,16593.47
9,41,1,11.9,12.63,9.9,14.99,8257.98
10,41,1,17.9,18.07,13.9,27.99,54824.74
11,41,1,29.9,27.77,19.9,44.9,32306.73
12,41,1,24.9,26.54,24.89,35.9,5465.89
13,41,1,29.9,29.05,25.9,39.9,8155.52
14,41,1,23.9,18.78,16.9,35.97,9970.39
15,41,1,21.99,25.97,17.89,34.9,2392.58
16,41,1,32.9,44.01,35.9,49.9,3909.36
17,41,1,17.9,19.35,14.5,28.9,9975.91
18,41,1,17.9,18.17,14.89,27.9,30241.84
19,41,1,19.9,16.46,13.9,19.91,3793.82
20,41,1,10.9,11.51,9.9,13.9,6329.68
21,41,1,10.9,10.47,8.9,10.9,859.12
22,41,2,10.9,10.14,4.99,14.99,10604.18
23,41,2,19.95,18.13,13.9,20.0,3473.61
24,41,2,5.99,6.48,4.99,7.99,65280.06
25,41,2,9.99,9.52,6.9,12.99,30049.77
26,41,2,4.49,4.51,4.49,4.99,1157.94
27,41,2,12.49,10.63,7.99,12.5,73530.66
28,41,2,8.99,8.11,7.99,8.99,2784.21
29,41,2,7.1,7.19,5.99,7.99,957.03
30,41,2,9.49,7.7,4.99,9.0,22862.9
31,41,2,7.49,7.01,5.98,7.99,11926.01
32,41,3,6.99,7.25,4.99,10.99,1232.85
33,41,4,20.9,22.75,16.9,24.93,5703.05
34,41,4,16.9,15.58,11.9,23.9,8129.45
35,41,5,19.9,19.76,14.89,19.91,594.06
36,41,6,35.9,36.41,35.88,39.99,7341.32
37,41,4,9.99,13.9,13.9,13.9,197.6
38,41,5,12.9,12.9,12.89,12.93,305.69
39,45,7,3.99,8.13,5.99,10.99,4697.17
40,45,7,5.99,5.69,4.99,5.99,899.42
41,45,7,2.79,2.79,2.79,2.8,261.74
42,45,7,5.99,4.21,1.29,5.0,686.94
43,45,7,3.99,2.06,0.89,4.0,3394.27
44,45,8,2.99,2.99,2.99,2.99,161.46
45,45,8,2.49,2.42,2.19,2.49,261.42
46,45,7,3.99,3.99,3.99,3.99,37.75
47,45,7,5.99,3.94,2.59,4.99,2195.28
48,45,8,2.49,2.24,1.49,2.49,449.49
49,45,8,1.99,1.4,0.49,1.99,3453.82
50,45,8,2.49,2.44,1.89,2.69,1321.69
51,45,8,1.89,1.65,0.99,2.29,727.78
52,45,7,10.9,10.9,10.9,10.91,181.98
53,45,7,1.99,2.43,0.99,3.5,23261.55
54,45,7,3.79,3.58,2.99,3.8,7763.04
55,45,7,4.99,3.38,1.69,6.0,31907.57
56,45,7,4.99,2.73,1.79,5.99,796.42
57,45,7,1.99,1.8,0.98,2.5,4000.93
58,45,7,10.9,7.95,4.99,9.9,996.69
59,45,7,3.99,3.4,1.98,5.99,867.71
60,45,7,3.99,2.09,1.19,3.99,1901.08
61,45,8,3.99,3.66,2.49,3.99,1436.58
