user_id,R,F,M,RFMS,R1,F1,M1,RFM1,R2,F2,M2,RFMS2,R3,F3,M3,RFMS3,R4,F4,M4,RFM4
0,2,5,5,255,2,5,5,255,2,5,5,255,1,5,5,155,1,1,1,111
1,5,5,4,554,1,1,1,111,2,5,5,255,3,3,3,333,3,5,5,355
2,5,5,5,555,3,5,5,355,2,5,5,255,2,5,5,255,3,5,5,355
3,4,1,1,411,1,1,1,111,1,1,1,111,1,1,1,111,3,2,3,323
4,1,3,1,131,1,1,1,111,1,1,1,111,1,5,3,153,1,1,1,111
5,3,5,5,355,1,5,5,155,1,4,5,145,1,1,1,111,1,1,1,111
6,1,5,5,155,1,5,5,155,1,5,5,155,1,3,3,133,1,1,1,111
7,4,5,5,455,2,5,5,255,1,1,1,111,1,1,1,111,1,1,1,111
8,2,4,4,244,1,1,1,111,2,5,5,255,1,5,5,155,1,1,1,111
9,2,2,3,223,1,4,4,144,1,1,1,111,1,1,1,111,1,1,1,111
10,2,1,1,211,1,3,4,134,1,1,1,111,1,1,1,111,1,1,1,111
11,1,5,5,155,3,5,5,355,2,5,5,255,1,5,5,155,1,2,3,123
12,5,5,5,555,3,5,5,355,2,5,5,255,1,5,5,155,4,2,5,425
13,1,4,4,144,1,5,4,154,2,5,5,255,1,3,3,133,1,1,1,111
14,5,4,4,544,1,4,4,144,1,1,1,111,1,4,3,143,4,4,3,443
15,4,5,5,455,2,5,5,255,2,5,5,255,2,5,5,255,2,4,5,245
16,2,5,5,255,2,4,4,244,2,5,5,255,1,5,5,155,1,1,1,111
17,2,5,5,255,3,5,5,355,1,5,5,155,1,5,5,155,1,1,1,111
18,1,5,5,155,2,5,5,255,2,5,5,255,2,5,5,255,1,2,3,123
19,4,3,2,432,2,4,4,244,1,1,1,111,1,1,1,111,1,1,1,111
20,2,5,5,255,3,5,5,355,1,5,5,155,2,5,5,255,1,1,1,111
21,1,5,5,155,2,5,5,255,1,5,5,155,1,4,5,145,1,1,1,111
22,5,4,3,543,1,4,4,144,2,5,5,255,1,1,1,111,1,1,1,111
23,5,3,3,533,1,1,1,111,1,1,1,111,2,4,4,244,3,4,3,343
24,2,5,5,255,3,5,5,355,1,5,5,155,1,5,4,154,1,1,1,111
25,5,4,4,544,1,4,4,144,1,4,4,144,2,4,4,244,3,5,4,354
26,1,5,5,155,2,5,5,255,1,5,5,155,1,5,5,155,1,1,1,111
27,2,5,5,255,3,5,5,355,1,4,4,144,1,4,4,144,1,1,1,111
28,2,5,5,255,2,5,5,255,2,5,5,255,1,5,5,155,1,1,1,111
29,1,5,5,155,3,5,5,355,2,5,5,255,1,5,5,155,1,1,1,111
30,2,5,5,255,3,5,5,355,2,5,5,255,1,5,5,155,1,1,1,111
31,2,5,5,255,2,5,5,255,1,5,5,155,1,5,4,154,1,1,1,111
32,3,5,5,355,3,5,5,355,1,1,1,111,2,5,5,255,2,5,5,255
33,1,4,4,144,1,4,4,144,1,4,4,144,1,5,5,155,1,1,1,111
34,1,5,5,155,2,5,5,255,1,5,5,155,1,5,5,155,1,1,1,111
35,1,5,4,154,3,5,4,354,1,5,5,155,1,5,5,155,1,1,1,111
36,5,4,4,544,3,5,5,355,1,5,5,155,1,1,1,111,1,1,1,111
37,2,5,5,255,1,5,5,155,1,5,5,155,1,5,5,155,1,1,1,111
38,3,3,3,333,1,4,4,144,1,1,1,111,2,3,3,233,1,1,1,111
39,5,4,5,545,2,5,5,255,1,1,1,111,1,3,5,135,3,4,5,345
40,1,4,4,144,1,5,4,154,1,5,5,155,1,3,4,134,1,1,1,111
41,2,5,5,255,2,5,5,255,2,5,5,255,1,5,5,155,1,1,1,111
42,3,3,4,334,1,4,5,145,1,1,1,111,1,3,4,134,2,2,3,223
43,2,4,4,244,2,4,5,245,1,1,1,111,1,4,3,143,1,1,1,111
44,2,5,5,255,2,5,5,255,2,5,5,255,2,5,4,254,1,1,1,111
45,1,5,5,155,3,5,5,355,1,5,5,155,1,5,5,155,1,2,2,122
46,2,5,5,255,2,5,5,255,1,5,5,155,1,4,4,144,1,1,1,111
47,3,2,1,321,1,1,1,111,1,5,4,154,1,1,1,111,1,1,1,111
48,2,5,5,255,3,5,5,355,2,5,5,255,1,5,5,155,1,1,1,111
49,2,5,5,255,3,5,5,355,2,5,5,255,2,5,5,255,1,4,3,143
50,1,5,5,155,3,5,5,355,2,5,5,255,1,5,5,155,1,1,1,111
51,2,5,5,255,3,5,5,355,2,5,5,255,2,5,5,255,1,4,4,144
52,2,5,5,255,2,5,5,255,1,5,4,154,2,5,4,254,1,2,2,122
53,1,3,4,134,1,4,4,144,1,1,1,111,1,3,4,134,1,1,1,111
54,1,5,5,155,2,5,5,255,1,5,5,155,1,5,5,155,1,2,2,122
55,2,5,5,255,1,5,5,155,1,1,1,111,1,4,5,145,1,1,1,111
56,2,5,5,255,2,5,5,255,2,5,5,255,2,5,5,255,1,1,1,111
57,5,3,3,533,1,1,1,111,2,5,5,255,1,1,1,111,1,1,1,111
58,3,3,4,334,1,4,5,145,1,1,1,111,1,1,1,111,1,1,1,111
59,2,5,5,255,2,5,5,255,2,5,5,255,1,4,3,143,1,1,1,111
60,2,5,5,255,2,5,5,255,1,5,5,155,2,5,4,254,1,1,1,111
61,2,4,4,244,3,4,4,344,1,1,1,111,1,5,5,155,1,1,1,111
62,2,5,5,255,2,5,5,255,2,5,5,255,1,5,5,155,1,1,1,111
63,4,3,2,432,1,4,4,144,1,1,1,111,1,1,1,111,1,1,1,111
64,2,5,5,255,2,5,5,255,1,5,5,155,2,5,5,255,1,1,1,111
65,3,3,3,333,1,4,4,144,1,1,1,111,1,1,1,111,1,1,1,111
